Iterations	Scores	Mean Scores
699	996	472
700	1451	473
701	511	473
702	402	473
703	347	473
704	446	473
705	178	472
706	271	472
707	-30	471
708	248	471
709	-110	470
710	781	471
711	963	471
712	594	472
713	761	472
714	902	473
715	285	472
716	65	472
717	598	472
718	809	472
719	461	472
720	1148	473
721	1114	474
722	200	474
723	460	474
724	294	473
725	339	473
726	31	473
727	262	472
728	233	472
729	326	472
730	292	472
731	-10	471
732	741	471
733	904	472
734	724	472
735	162	472
736	-64	471
737	947	472
738	512	472
739	825	472
740	-39	472
741	131	471
742	656	471
743	376	471
744	424	471
745	235	471
746	33	470
747	917	471
748	160	470
749	788	471
750	-24	470
751	532	470
752	-251	469
753	460	469
754	1329	470
755	133	470
756	37	469
757	404	469
758	627	470
759	-64	469
760	232	469
761	537	469
762	326	468
763	123	468
764	851	469
765	102	468
766	595	468
767	646	468
768	232	468
769	385	468
770	-20	467
771	-61	467
772	605	467
773	1015	468
774	461	468
775	309	467
776	372	467
777	723	468
778	387	467
779	-99	467
780	415	467
781	435	467
782	-1156	465
783	166	464
784	612	464
785	1012	465
786	313	465
787	530	465
788	709	465
789	292	465
790	270	465
791	145	464
792	1920	466
793	772	467
794	560	467
795	1650	468
796	527	468
797	-71	468
798	479	468
799	863	468
800	83	468
801	1485	469
802	106	468
803	-593	467
804	246	467
805	516	467
806	698	467
807	206	467
808	848	467
809	74	467
810	1200	468
811	943	468
812	1030	469
813	446	469
814	652	469
815	465	469
816	404	469
817	258	469
818	427	469
819	319	469
820	1694	470
821	315	470
822	507	470
823	-72	469
824	2000	471
825	526	471
826	127	471
827	717	471
828	814	472
829	376	471
830	-485	470
831	522	470
832	1003	471
833	1375	472
834	840	473
835	1025	473
836	92	473
837	1162	474
838	-318	473
839	209	472
840	599	472
841	661	473
842	461	473
843	928	473
844	721	473
845	264	473
846	856	474
847	-405	473
848	997	473
849	356	473
850	541	473
851	1394	474
852	718	475
853	801	475
854	190	475
855	928	475
856	904	476
857	503	476
858	490	476
859	1130	476
860	260	476
861	49	476
862	473	476
863	1238	477
864	378	476
865	-717	475
866	1477	476
867	583	476
868	786	477
869	-322	476
870	632	476
871	505	476
872	268	476
873	397	476
874	603	476
875	199	476
876	900	476
877	484	476
878	201	476
879	567	476
880	-98	475
881	373	475
882	569	475
883	75	475
884	1278	476
885	337	475
886	675	476
887	617	476
888	675	476
889	529	476
890	465	476
891	413	476
892	339	476
893	586	476
894	485	476
895	640	476
896	932	477
897	164	476
898	241	476
899	471	476
900	239	476
901	228	476
902	237	475
903	1091	476
904	641	476
905	116	476
906	148	475
907	588	475
908	530	476
909	91	475
910	782	475
911	953	476
912	-1102	474
913	-355	473
914	1122	474
915	767	474
916	333	474
917	802	475
918	-103	474
919	-202	473
920	807	474
921	542	474
922	-95	473
923	579	473
924	440	473
925	455	473
926	121	473
927	465	473
928	74	472
929	1174	473
930	881	473
931	394	473
932	111	473
933	362	473
934	59	472
935	545	472
936	750	473
937	361	473
938	79	472
939	585	472
940	564	472
941	1482	474
942	716	474
943	569	474
944	-27	473
945	1136	474
946	1034	475
947	835	475
948	734	475
949	279	475
